# BTC Strategie - Chronological Trades
# Generated: 2026-03-13 09:18:40
# Output File: d:\Benutzerdaten\OneDrive\Dokumente\GitHub\PythonProjects\Coincall\Output Ergebnisse\Matrix_Test_913944\Individual_Tests\004_ET0305_SL70_ChronologicalTrades.csv
# Date Range Filter: 2025-01-01 to 2025-08-14
# Total Trades: 133
# P&L Type: realized only (position_pnl = P&L per closed position)
# Straddle: TP/SL gilt fuer gesamten Kombinationswert (Put+Call), nicht pro Einzelleg. Straddle wird gemeinsam eroeffnet und geschlossen.
# Total PnL (realized): "$4,509.04"
# Final Capital (realized): "$14,509.04"
# Final Capital (incl. unrealized): "$14,509.04"
# Max Drawdown: -3.12%
# Total Transactions: 267
# Unique Positions: 134
# P&L Type: realized only (position_pnl = P&L per closed position)
#
timestamp,time,position_id,combo_id,leg_label,action,exit_reason,quantity,underlying_price,reference_price_used_helper,trigger_helper_price,reference_iv,trigger_helper_iv,entry_price,close_price,leg_number,Type,Expiration,Delta,Entry Delta,days_in_trade,position_pnl,leg_fee_usd,Net_Trade_Cost_USD,Net_Trade_Cost_USD_Currency,strike,entry_price_usd,exit_price_usd,leg1_option_type,leg2_option_type
2025-04-22,17:31:00,OPTION_2025-04-22_001,Kombo OPTION_2025-04-22_001,Leg 1,CLOSE,take_profit,1,91128.0,,,,,,0.0001,1,P,2025-04-23,-0.09091,-0.09091,0,83.88887999999999,12.757919999999999,-21.87072,USD,85000.0,,0.0001,,
2025-04-23,03:05:00,OPTION_2025-04-23_001,Kombo OPTION_2025-04-23_001,Leg 1 (P),OPEN,,-1,92790.0,,,,,0.0011,,1,P,2025-04-24,-0.07911,,,,0.0,102.069,USD,89000.0,0.0011,,,
2025-04-23,17:57:00,OPTION_2025-04-23_001,Kombo OPTION_2025-04-23_001,Leg 1,CLOSE,take_profit,1,93972.0,,,,,,0.0001,1,P,2025-04-24,-0.07911,-0.07911,0,79.51572,13.15608,-22.553279999999997,USD,89000.0,,0.0001,,
2025-04-24,03:05:00,OPTION_2025-04-24_001,Kombo OPTION_2025-04-24_001,Leg 1 (P),OPEN,,-1,93166.0,,,,,0.0014,,1,P,2025-04-25,-0.10208,,,,0.0,130.4324,USD,90000.0,0.0014,,,
2025-04-24,07:51:00,OPTION_2025-04-24_001,Kombo OPTION_2025-04-24_001,Leg 1,CLOSE,stop_loss,1,92145.0,,,,,,0.0024,1,P,2025-04-25,-0.10208,-0.10208,0,-103.61589999999997,12.9003,-234.04829999999998,USD,90000.0,,0.0024,,
2025-04-25,03:05:00,OPTION_2025-04-25_001,Kombo OPTION_2025-04-25_001,Leg 1 (P),OPEN,,-1,93035.0,,,,,0.0012,,1,P,2025-04-26,-0.09965,,,,0.0,111.642,USD,90000.0,0.0012,,,
2025-04-25,16:00:00,OPTION_2025-04-25_001,Kombo OPTION_2025-04-25_001,Leg 1,CLOSE,take_profit,1,95254.0,,,,,,0.0001,1,P,2025-04-26,-0.09965,-0.09965,0,88.78103999999999,13.33556,-22.86096,USD,90000.0,,0.0001,,
2025-04-26,03:05:00,OPTION_2025-04-26_001,Kombo OPTION_2025-04-26_001,Leg 1 (P),OPEN,,-1,95006.0,,,,,0.0005,,1,P,2025-04-27,-0.07877,,,,0.0,47.503,USD,93000.0,0.0005,,,
2025-04-26,08:49:00,OPTION_2025-04-26_001,Kombo OPTION_2025-04-26_001,Leg 1,CLOSE,stop_loss,1,94379.0,,,,,,0.0009,1,P,2025-04-27,-0.07877,-0.07877,0,-50.65115999999999,13.213059999999999,-98.15415999999999,USD,93000.0,,0.0009,,
2025-04-27,03:05:00,OPTION_2025-04-27_001,Kombo OPTION_2025-04-27_001,Leg 1 (P),OPEN,,-1,94434.0,,,,,0.0007,,1,P,2025-04-28,-0.08336,,,,0.0,66.10379999999999,USD,92000.0,0.0007,,,
2025-04-27,04:39:00,OPTION_2025-04-27_001,Kombo OPTION_2025-04-27_001,Leg 1,CLOSE,stop_loss,1,94175.0,,,,,,0.0012,1,P,2025-04-28,-0.08336,-0.08336,0,-60.0907,13.184499999999998,-126.19449999999999,USD,92000.0,,0.0012,,
2025-04-28,03:05:00,OPTION_2025-04-28_001,Kombo OPTION_2025-04-28_001,Leg 1 (P),OPEN,,-1,93537.0,,,,,0.0011,,1,P,2025-04-29,-0.08415,,,,0.0,102.89070000000001,USD,90000.0,0.0011,,,
2025-04-28,10:34:00,OPTION_2025-04-28_001,Kombo OPTION_2025-04-28_001,Leg 1,CLOSE,take_profit,1,94979.0,,,,,,0.0001,1,P,2025-04-29,-0.08415,-0.08415,0,80.09574,13.297059999999998,-22.79496,USD,90000.0,,0.0001,,
2025-04-29,03:05:00,OPTION_2025-04-29_001,Kombo OPTION_2025-04-29_001,Leg 1 (P),OPEN,,-1,94584.0,,,,,0.0013,,1,P,2025-04-30,-0.11561,,,,0.0,122.9592,USD,92000.0,0.0013,,,
